2020212125	郑杨梅	860	860
2020212093	宫欣琳	540	540
2020212049	赖晗蕊	100	100
2020212103	索悦怡	640	640
2020212042	储莹莹	30	30
2020212045	方尔柳	60	60
2020212107	崔新晴	680	680
2020212115	勾怜容	760	760
2020212054	蔚仙仪	150	150
2020212091	晃诗文	520	520
2020212039	习谷雪	1	1
2020212119	冀俞莹	800	800
2020212074	宋听蓉	350	350
2020212095	郗言心	560	560
2020212043	蒲望舒	40	40
2020212075	漕琼芳	360	360
2020212077	毛玄穆	380	380
2020212076	孔嘉洁	370	370
2020212052	高子欣	130	130
2020212041	罗凝雪	20	20
2020212072	温睿思	330	330
2020212051	崔瑜蓓	120	120
2020212101	谭亚玲	620	620
2020212130	蒲心远	910	910
2020212057	王笑妍	180	180
2020212124	农燕平	850	850
2020212121	蓟伶伶	820	820
2020212133	龙芳蕤	940	940
2020212068	苍双玉	290	290
2020212106	温莹华	670	670
2020212069	饶静慧	300	300
2020212056	养冰冰	170	170
2020212117	韶依辰	780	780
2020212046	温惜天	70	70
2020212110	暨淳静	710	710
2020212071	朱小珍	320	320
2020212061	蒯心菱	220	220
2020212127	黎雅丽	880	880
2020212082	周洁玉	430	430
2020212097	钭泽芳	580	580
2020212099	萧天春	600	600
2020212116	逯梦茹	770	770
2020212136	景琼音	970	970
2020212083	宦新文	440	440
2020212087	邱颐然	480	480
2020212059	金晓兰	200	200
2020212134	富芹悦	950	950
2020212092	常沁舒	530	530
2020212094	汲叶欣	550	550
2020212113	惠夜梦	740	740
2020212078	怀芸溪	390	390
2020212066	雍洛凝	270	270
2020212085	郗千束	460	460
2020212114	伊雅秀	750	750
2020212105	晏迎梦	660	660
2020212062	何玉珂	230	230
2020212120	石俊英	810	810
2020212109	能芮优	700	700
2020212100	郭振文	610	610
2020212112	邓元霜	730	730
2020212111	马觅双	720	720
2020212102	孟芸茗	630	630
2020212044	慎痴梦	50	50
2020212050	金涵山	110	110
2020212047	范欣欣	80	80
2020212040	浦真文	10	10
2020212118	漕一雯	790	790
2020212053	龚方仪	140	140
2020212088	璩胜红	490	490
2020212048	桓依风	90	90
2020212058	邴明明	190	190
2020212081	郗思卉	420	420
2020212079	莘嘉惠	400	400
2020212137	充佳妍	980	980
2020212129	辛邵美	900	900
2020212122	公子璇	830	830
2020212055	蒙忆雪	160	160
2020212126	宋芳蕤	870	870
2020212123	终凝旋	840	840
2020212086	毋瓶花	470	470
2020212084	汤一芳	450	450
2020212080	钭丽佳	410	410
2020212138	漕友琴	990	990
2020212096	蒲竹月	570	570
2020212108	车琼华	690	690
2020212090	尚云溪	510	510
2020212128	朱觅双	890	890
2020212070	伊晓燕	310	310
2020212060	宫小星	210	210
2020212064	寿筠竹	250	250
2020212131	惠俊雅	920	920
2020212104	汲晴曦	650	650
2020212089	戴友绿	500	500
2020212067	欧怡悦	280	280
2020212073	郗向彤	340	340
2020212065	隆思敏	260	260
2020212098	廖千雁	590	590
2020212132	任璇子	930	930
2020212063	能韵诗	240	240
2020212135	秦秀秀	960	960
